category	reading	romaji	meaning_vi	audio_key	written	meaning_en
CHOUON	ていいん	teiin	số lượng cố định (người)	practice_chouon_029	定員	fixed number (of people)
CHOUON	ようか	youka	Ngày 8 trong tháng	practice_chouon_030	８日	8th day of the month
CHOUON	そうです	soudesu	đúng là như vậy	practice_chouon_031	そうです	that is so
CHOUON	たようか	tayouka	đa dạng hóa	practice_chouon_032	多様化	diversification
CHOUON	ようにん	younin	phê duyệt	practice_chouon_033	容認	approval
CHOUON	そうですが	soudesuga	tuy nhiên là vậy...	practice_chouon_034	そうですが	that's so, however ...
CHOUON	いいね	iine	điều đó thật tốt	practice_chouon_035	いいね	that's good
CHOUON	そうさ	sousa	tìm kiếm (đặc biệt trong điều tra tội phạm)	practice_chouon_036	捜査	search (esp. in criminal investigations)
CHOUON	そうだん	soudan	tư vấn	practice_chouon_037	相談	consultation
CHOUON	だんそう	dansou	lỗi	practice_chouon_038	断層	fault
CHOUON	じゅう	juu	(tất cả) xuyên qua (ví dụ: đêm)	practice_chouon_039	中	(all) through (e.g. the night)
CHOUON	ちゅう	chuu	trung bình (kích thước)	practice_chouon_040	中	medium (size)
CHOUON	ようにする	younisuru	để chứng kiến điều đó...	practice_chouon_041	ようにする	to see to it that ...
CHOUON	いそう	isou	chuyển nhượng	practice_chouon_042	移送	transfer
CHOUON	なさそう	nasasou	dường như không	practice_chouon_043	無さそう	does not seem
CHOUON	にってい	nittei	lịch trình	practice_chouon_044	日程	schedule
CHOUON	いいや	iiya	không	practice_chouon_045	いいや	no
CHOUON	そういん	souin	tu viện	practice_chouon_046	僧院	monastery
CHOUON	ほう	hou	phương hướng	practice_chouon_047	方	direction
CHOUON	よういん	youin	(cần thiết) nhân sự	practice_chouon_048	要員	(necessary) personnel
CHOUON	そうそう	sousou	dự đám tang	practice_chouon_049	葬送	attending a funeral procession
CHOUON	そうば	souba	giá thị trường	practice_chouon_050	相場	market price
CHOUON	ようそう	yousou	khía cạnh	practice_chouon_051	様相	aspect
CHOUON	だろう	darou	có vẻ như	practice_chouon_052	だろう	seems
CHOUON	そうたい	soutai	về sớm	practice_chouon_053	早退	leaving early
CHOUON	そのよう	sonoyou	kiểu đó	practice_chouon_054	その様	that kind of
CHOUON	いいようがない	iiyouganai	không thể diễn tả được	practice_chouon_055	言いようがない	indescribable
CHOUON	へい	hei	bức tường	practice_chouon_056	塀	wall
CHOUON	にっちゅう	nitchuu	ban ngày	practice_chouon_057	日中	daytime
CHOUON	きにいる	kiniiru	thích	practice_chouon_058	気に入る	to like
CHOUON	だろうか	darouka	bạn có nghĩ vậy không?	practice_chouon_059	だろうか	don't you think?
CHOUON	どう	dou	làm thế nào	practice_chouon_060	どう	how
CHOUON	しへい	shihei	tiền giấy	practice_chouon_061	紙幣	paper money
CHOUON	ようになる	youninaru	để đạt tới điểm...	practice_chouon_062	様になる	to reach the point where ...
CHOUON	きてい	kitei	thành lập	practice_chouon_063	既定	established
CHOUON	どうが	douga	video (đặc biệt là kỹ thuật số)	practice_chouon_064	動画	video (esp. digital)
CHOUON	もう	mou	rồi	practice_chouon_065	もう	already
CHOUON	かへい	kahei	tiền bạc	practice_chouon_066	貨幣	money
CHOUON	しどう	shidou	khởi động (máy móc, động cơ...)	practice_chouon_067	始動	starting (a machine, engine, etc.)
CHOUON	どうし	doushi	động từ	practice_chouon_068	動詞	verb
CHOUON	そうわ	souwa	tập phim	practice_chouon_069	挿話	episode
CHOUON	かどう	kadou	cắm hoa	practice_chouon_070	華道	flower arrangement
CHOUON	どうか	douka	sự đồng hóa	practice_chouon_071	同化	assimilation
CHOUON	ありそう	arisou	có thể xảy ra	practice_chouon_072	有りそう	probable
CHOUON	どうしたの	doushitano	có chuyện gì thế?	practice_chouon_073	どうしたの	what's the matter?
CHOUON	せいい	seii	sự chân thành	practice_chouon_074	誠意	sincerity
CHOUON	さんそう	sansou	biệt thự trên núi	practice_chouon_075	山荘	mountain villa
CHOUON	せそう	sesou	điều kiện xã hội	practice_chouon_076	世相	social conditions
CHOUON	そうき	souki	giai đoạn đầu	practice_chouon_077	早期	early stage
CHOUON	へいさ	heisa	đóng cửa	practice_chouon_078	閉鎖	closing
CHOUON	もうだ	mouda	đòn nặng	practice_chouon_079	猛打	heavy blow
CHOUON	ほうがいい	hougaii	đã tốt hơn...	practice_chouon_080	方がいい	had better ...
CHOUON	さどう	sadou	hoạt động	practice_chouon_081	作動	operation
CHOUON	どうさ	dousa	chuyển động (của cơ thể)	practice_chouon_082	動作	movement (of the body)
CHOUON	ようき	youki	thùng chứa	practice_chouon_083	容器	container
CHOUON	さんよう	sanyou	phía nam của một ngọn núi	practice_chouon_084	山陽	south side of a mountain
CHOUON	ようさん	yousan	nghề nuôi tằm	practice_chouon_085	養蚕	sericulture
CHOUON	おもう	omou	suy nghĩ	practice_chouon_086	思う	to think
CHOUON	かどうか	kadouka	liệu (hay không)	practice_chouon_087	かどうか	whether (or not)
CHOUON	そうしき	soushiki	tang lễ	practice_chouon_088	葬式	funeral
CHOUON	だんどう	dandou	quỹ đạo	practice_chouon_089	弾道	trajectory
CHOUON	へいいん	heiin	sức mạnh quân sự	practice_chouon_090	兵員	military strength
CHOUON	いどう	idou	(nhân sự) thay đổi	practice_chouon_091	異動	(personnel) change
CHOUON	どうい	doui	thỏa thuận	practice_chouon_092	同意	agreement
CHOUON	どうとう	doutou	cùng một đảng (chính trị)	practice_chouon_093	同党	same (political) party
CHOUON	どうや	douya	cùng một đêm	practice_chouon_094	同夜	the same night
CHOUON	どういん	douin	huy động	practice_chouon_095	動員	mobilization
CHOUON	そうどう	soudou	bạo loạn	practice_chouon_096	騒動	riot
CHOUON	どうそう	dousou	tốt nghiệp cùng trường	practice_chouon_097	同窓	being a graduate of the same school
CHOUON	でしょうか	deshouka	bạn có nghĩ vậy không?	practice_chouon_098	でしょうか	don't you think?
CHOUON	にほんじゅう	nihonjuu	trên khắp Nhật Bản	practice_chouon_099	日本中	throughout Japan
CHOUON	がくれい	gakurei	tuổi đi học	practice_chouon_100	学齢	school age
SOKUON	からって	karatte	chỉ vì	practice_sokuon_001	からって	just because
SOKUON	だった	datta	đã là	practice_sokuon_002	だった	was
SOKUON	ってことは	ttekotoha	đó là để nói	practice_sokuon_003	ってことは	that is to say
SOKUON	にってい	nittei	lịch trình	practice_sokuon_004	日程	schedule
SOKUON	あっ	atsu	à	practice_sokuon_005	あっ	ah
SOKUON	あっての	atteno	chỉ có thể tồn tại nhờ sự có mặt của	practice_sokuon_006	あっての	which can exist solely due to the presence of
SOKUON	みっか	mikka	Ngày thứ 3 của tháng	practice_sokuon_007	３日	3rd day of the month
SOKUON	やった	yatta	hoan hô	practice_sokuon_008	やった	hooray
SOKUON	となったら	tonattara	ở đâu... có liên quan	practice_sokuon_009	となったら	where ... is concerned
SOKUON	にあっては	niatteha	trong	practice_sokuon_010	にあっては	in
SOKUON	あってない	attenai	thiếu một số thuộc tính mong muốn (kích thước, tính hữu dụng, v.v.)	practice_sokuon_011	有って無い	lacking in some desired property (size, usefulness, etc.)
SOKUON	やっか	yakka	giá thuốc	practice_sokuon_012	薬価	drug price
SOKUON	にっちゅう	nitchuu	ban ngày	practice_sokuon_013	日中	daytime
SOKUON	だったら	dattara	nếu đúng như vậy	practice_sokuon_014	だったら	if it's the case
SOKUON	よっか	yokka	ngày thứ 4 của tháng	practice_sokuon_015	４日	4th day of the month
SOKUON	といっても	toittemo	mặc dù tôi nói	practice_sokuon_016	と言っても	although I say
SOKUON	かといって	katoitte	đã nói điều đó	practice_sokuon_017	かと言って	having said that
SOKUON	そういった	souitta	như thế	practice_sokuon_018	そう言った	like that
SOKUON	やっき	yakki	tuyệt vọng	practice_sokuon_019	躍起	desperate
SOKUON	ちょっと	chotto	một chút	practice_sokuon_020	ちょっと	a little
SOKUON	だったりして	dattarishite	có thể là vậy	practice_sokuon_021	だったりして	might it be that
SOKUON	いっかい	ikkai	một lần	practice_sokuon_022	一回	once
SOKUON	いっぽん	ippon	một vật hình trụ dài	practice_sokuon_023	一本	one long cylindrical thing
SOKUON	やっつ	yattsu	tám	practice_sokuon_024	八つ	eight
SOKUON	しゅったい	shuttai	sự xuất hiện	practice_sokuon_025	出来	occurrence
SOKUON	いってきます	ittekimasu	Tôi đi đây (và sẽ quay lại sau)	practice_sokuon_026	行ってきます	I'm off (and will be back later)
SOKUON	しまった	shimatta	chết tiệt!	practice_sokuon_027	しまった	darn it!
SOKUON	いって	itte	một nước đi (trong cờ vây, shogi, v.v.)	practice_sokuon_028	一手	one move (in go, shogi, etc.)
SOKUON	いっしょ	issho	(làm) cùng nhau	practice_sokuon_029	一緒	(doing) together
SOKUON	いっしょに	isshoni	cùng (với)	practice_sokuon_030	一緒に	together (with)
SOKUON	けっか	kekka	kết quả	practice_sokuon_031	結果	result
SOKUON	にっか	nikka	thói quen hàng ngày	practice_sokuon_032	日課	daily routine
SOKUON	もっと	motto	(một số) thêm	practice_sokuon_033	もっと	(some) more
SOKUON	いっこく	ikkoku	một quốc gia	practice_sokuon_034	一国	one country
SOKUON	によって	niyotte	theo	practice_sokuon_035	によって	according to
SOKUON	にっかん	nikkan	ấn phẩm hàng ngày	practice_sokuon_036	日刊	daily publication
SOKUON	だって	datte	sau tất cả	practice_sokuon_037	だって	after all
SOKUON	れっか	rekka	sự suy giảm (về chất lượng, hiệu suất, v.v.)	practice_sokuon_038	劣化	deterioration (in quality, performance, etc.)
SOKUON	ことによって	kotoniyotte	qua	practice_sokuon_039	事によって	via
SOKUON	じゅうよっか	juuyokka	Ngày 14 của tháng	practice_sokuon_040	１４日	14th day of the month
SOKUON	にっき	nikki	nhật ký	practice_sokuon_041	日記	diary
SOKUON	によってことなる	niyottekotonaru	khác nhau tùy theo...	practice_sokuon_042	によって異なる	to differ depending on ...
SOKUON	がっこう	gakkou	trường học	practice_sokuon_043	学校	school
SOKUON	ぜったい	zettai	tuyệt đối	practice_sokuon_044	絶対	absolutely
SOKUON	ぜったいに	zettaini	tuyệt đối	practice_sokuon_045	絶対に	absolutely
SOKUON	いってん	itten	điểm	practice_sokuon_046	一点	point
SOKUON	じっさい	jissai	thực tế	practice_sokuon_047	実際	reality
SOKUON	じっさいは	jissaiha	thực tế	practice_sokuon_048	実際は	in fact
SOKUON	ごっかん	gokkan	cực lạnh	practice_sokuon_049	極寒	extreme cold
SOKUON	もってくる	mottekuru	mang theo (cái gì)	practice_sokuon_050	持ってくる	to bring (something)
SOKUON	けっこん	kekkon	hôn nhân	practice_sokuon_051	結婚	marriage
SOKUON	あっというま	attoiuma	ngay lập tức	practice_sokuon_052	あっという間	an instant
SOKUON	あっというまに	attoiumani	ngay lập tức	practice_sokuon_053	あっという間に	in an instant
SOKUON	ずっと	zutto	liên tục	practice_sokuon_054	ずっと	continuously
SOKUON	いっきょく	ikkyoku	giai điệu (giai điệu, đoạn nhạc)	practice_sokuon_055	一曲	tune (melody, piece of music)
SOKUON	ぜったいてき	zettaiteki	tuyệt đối	practice_sokuon_056	絶対的	absolute
SOKUON	もっていく	motteiku	mang (cái gì) theo	practice_sokuon_057	持っていく	to take (something) along
SOKUON	はっぴょう	happyou	thông báo	practice_sokuon_058	発表	announcement
SOKUON	いっぱん	ippan	chung	practice_sokuon_059	一般	general
SOKUON	よかったら	yokattara	nếu bạn thích	practice_sokuon_060	良かったら	if you like
SOKUON	せってい	settei	thành lập	practice_sokuon_061	設定	establishment
SOKUON	あっこう	akkou	(lời nói) lạm dụng	practice_sokuon_062	悪口	(verbal) abuse
SOKUON	にじゅうよっか	nijuuyokka	Ngày 24 của tháng	practice_sokuon_063	２４日	24th day of the month
SOKUON	いっぱんてき	ippanteki	chung	practice_sokuon_064	一般的	general
SOKUON	いっけん	ikken	(một) vấn đề	practice_sokuon_065	一件	(one) matter
SOKUON	にとって	nitotte	đến	practice_sokuon_066	に取って	to
SOKUON	やっぱり	yappari	như mong đợi	practice_sokuon_067	やっぱり	as expected
SOKUON	いったりきたり	ittarikitari	đi đi lại lại	practice_sokuon_068	行ったり来たり	going to and fro
SOKUON	こういった	kouitta	kiểu này	practice_sokuon_069	こう言った	this sort of
SOKUON	けってい	kettei	quyết định	practice_sokuon_070	決定	decision
SOKUON	いつになったら	itsuninattara	khi nào	practice_sokuon_071	いつになったら	when
SOKUON	けっこう	kekkou	lộng lẫy	practice_sokuon_072	結構	splendid
SOKUON	やってくる	yattekuru	đi cùng	practice_sokuon_073	やって来る	to come along
SOKUON	がっこうめい	gakkoumei	tên trường	practice_sokuon_074	学校名	school name
SOKUON	いっせん	issen	trận chiến	practice_sokuon_075	一戦	battle
SOKUON	まったく	mattaku	thực sự	practice_sokuon_076	全く	really
SOKUON	いっこ	ikko	một (điều)	practice_sokuon_077	一個	one (thing)
SOKUON	いっちゃく	itchaku	vị trí đầu tiên (trong một cuộc đua)	practice_sokuon_078	一着	first place (in a race)
SOKUON	しってのとおり	shittenotoori	như bạn biết	practice_sokuon_079	知っての通り	as you know
SOKUON	はっけん	hakken	khám phá	practice_sokuon_080	発見	discovery
SOKUON	はっぴょうかい	happyoukai	(trường học) buổi biểu diễn	practice_sokuon_081	発表会	(school) recital
SOKUON	かわった	kawatta	bất thường	practice_sokuon_082	変わった	unusual
SOKUON	はっせい	hassei	sự xuất hiện	practice_sokuon_083	発生	occurrence
SOKUON	いっしゅうかん	isshuukan	một tuần	practice_sokuon_084	一週間	one week
SOKUON	にっこう	nikkou	Ánh sáng mặt trời	practice_sokuon_085	日光	sunlight
SOKUON	せっていかのう	setteikanou	có thể cấu hình	practice_sokuon_086	設定可能	configurable
SOKUON	じってい	jittei	em trai ruột	practice_sokuon_087	実弟	biological younger brother
SOKUON	いっかげつ	ikkagetsu	một tháng	practice_sokuon_088	一ヶ月	one month
SOKUON	けんきゅうけっか	kenkyuukekka	kết quả của một cuộc điều tra khoa học	practice_sokuon_089	研究結果	results of a scientific investigation
SOKUON	もっとも	mottomo	nhất	practice_sokuon_090	最も	most
SOKUON	いろいろあって	iroiroatte	cái này cái kia thì sao	practice_sokuon_091	色々あって	what with this and that
SOKUON	けっこんあいて	kekkon'aite	đối tác kết hôn	practice_sokuon_092	結婚相手	marriage partner
SOKUON	いっぽう	ippou	một (đặc biệt là hai)	practice_sokuon_093	一方	one (esp. of two)
SOKUON	しっぱい	shippai	thất bại	practice_sokuon_094	失敗	failure
SOKUON	しっかり	shikkari	thật chặt (giữ chặt)	practice_sokuon_095	しっかり	tightly (holding on)
SOKUON	やっかい	yakkai	rắc rối	practice_sokuon_096	厄介	trouble
SOKUON	いっぽうてき	ippouteki	một chiều	practice_sokuon_097	一方的	one-sided
SOKUON	きっと	kitto	chắc chắn	practice_sokuon_098	きっと	surely
SOKUON	もって	motte	với	practice_sokuon_099	以て	with
SOKUON	けっきょく	kekkyoku	sau tất cả	practice_sokuon_100	結局	after all
